date,temperature,humidity,wind_speed,outlook
2021-11-06,26.99,85.67,6.29,rainy
2021-11-07,27.38,85.33,6.82,sunny
2021-11-08,27.77,83.71,8.06,sunny
2021-11-09,26.6,85.96,5.63,sunny
2021-11-10,27.21,82.17,7.09,sunny
2021-11-11,25.65,91.25,5.22,rainy
2021-11-12,25.86,88.54,4.73,rainy
2021-11-13,26.14,86.67,7.29,rainy
2021-11-14,25.2,91.29,4.32,rainy
2021-11-15,25.93,89.29,7.43,rainy
2021-11-16,25.84,89.92,5.11,rainy
2021-11-17,26.13,89.71,5.76,rainy
2021-11-18,26.14,89.25,5.48,rainy
2021-11-19,26.54,85.88,6.77,sunny
2021-11-20,25.96,90.79,5.32,rainy
2021-11-21,26.51,86.62,6.89,rainy
2021-11-22,26.15,88.12,9.23,rainy
2021-11-23,26.4,86.67,5.15,rainy
2021-11-24,26.62,83.38,4.88,rainy
2021-11-25,26.0,87.12,6.02,sunny
2021-11-26,26.43,76.92,6.6,sunny
2021-11-27,24.91,83.25,10.4,rainy
2021-11-28,25.3,86.96,5.85,rainy
2021-11-29,25.39,89.88,5.88,sunny
2021-11-30,25.39,89.0,12.36,rainy
2021-12-01,25.53,84.42,6.2,sunny
2021-12-02,25.22,78.25,5.18,sunny
2021-12-03,24.72,76.92,6.78,sunny
2021-12-04,23.76,76.62,7.31,sunny
2021-12-05,23.63,74.71,8.69,sunny
2021-12-06,25.15,79.58,8.25,sunny
2021-12-07,25.24,78.5,6.43,sunny
2021-12-08,25.52,76.96,5.78,sunny
2021-12-09,25.67,85.0,4.35,sunny
2021-12-10,25.59,78.25,6.66,sunny
2021-12-11,24.87,77.96,5.68,sunny
2021-12-12,26.13,79.46,5.34,sunny
2021-12-13,26.48,75.17,7.54,sunny
2021-12-14,26.5,72.21,6.65,sunny
2021-12-15,26.81,76.79,5.35,sunny
2021-12-16,27.54,79.29,5.26,sunny
2021-12-17,27.51,76.54,6.46,sunny
2021-12-18,27.39,64.75,9.67,sunny
2021-12-19,26.74,55.0,15.54,sunny
2021-12-20,25.93,65.67,6.62,sunny
2021-12-21,26.81,72.75,9.7,sunny
2021-12-22,26.91,75.88,7.45,sunny
2021-12-23,26.83,75.29,7.84,sunny
2021-12-24,26.88,72.54,5.86,sunny
2021-12-25,27.45,70.62,5.41,sunny
2021-12-26,27.82,69.42,5.17,sunny
2021-12-27,26.93,77.46,5.27,rainy
2021-12-28,26.48,81.46,7.2,rainy
2021-12-29,26.57,78.17,6.08,sunny
2021-12-30,27.25,63.79,9.47,sunny
2021-12-31,27.07,60.62,9.48,sunny
